organism	rename
	
Adenovirus	Adenovirus
Akkermansia muciniphila	Akkermansia muciniphila
Allergy	Allergy
pollen allergen	Allergy
Allograft rejection	Allograft rejection
Alzheimer's disease	Alzheimer's disease
Arachis hypogaea (peanut)	Arachis hypogaea
ARDS	ARDS
Biliary atresia	Biliary atresia
Breast cancer	Breast cancer
Breast Cancer	Breast cancer
Calcified Aortic Stenosis disease	Calcified Aortic Stenosis disease
Carcinoma	Carcinoma
Cardiac valve allograft chronic rejection	Cardiac valve allograft chronic rejection
Celiac disease	Celiac disease
Cervical cancer	Cervical cancer
Cervical carcinoma	Cervical cancer
Cervical intraepithelial neoplasia	Cervical cancer
Chronic Obstructive Lung Disease	Chronic Obstructive Lung Disease
Churg Strauss syndrome	Churg Strauss syndrome
Clear cell renal carcinoma	Clear cell renal carcinoma
Cytomegalovirus (CMV)	CMV
CMV	CMV
Collagen type II-induced arthritis	Collagen type II-induced arthritis
Colorectal cancer	Colorectal cancer
Chaerephon bat coronavirus/Kenya/KY22/2006 (Bat coronavirus BtKY22/Chaerephon sp./Kenya/2006)	coronavirus
Human coronavirus 229E (Coronavirus 229E)	coronavirus
Human coronavirus HKU1 (CoV-HKU1)	coronavirus
Human coronavirus HKU1 (isolate N1)	coronavirus
Human coronavirus NL63 (Coronavirus NL63)	coronavirus
Human coronavirus OC43 (Human coronavirus (strain OC43))	coronavirus
Middle East respiratory syndrome-related coronavirus (MERS coronavirus)	coronavirus
Murine hepatitis virus strain JHM (Murine coronavirus mhv (STRAIN JHM))	coronavirus
NL63-related bat coronavirus	coronavirus
SARS coronavirus BJ01	coronavirus
SARS coronavirus TJF	coronavirus
SARS coronavirus Urbani (SARS coronavirus strain Urbani)	coronavirus
SARS-CoV1	coronavirus
HCoV-HKU1	coronavirus
SARS-CoV	coronavirus
Coxsackievirus B1 (Coxsackie B virus type 1)	Coxsackievirus
Coxsackievirus B4 (Coxsackie B virus type 4)	Coxsackievirus
CoxsackievirusB	Coxsackievirus
Dengue virus	Dengue virus
Dengue virus 2 Thailand/16681/84 (Dengue virus type 2 (strain 16681))	Dengue virus
dengue virus type 1 (dengue type 1 D1 virus)	Dengue virus
dengue virus type 3 (Dengue virus serotype 3)	Dengue virus
DENV1	Dengue virus
DENV2	Dengue virus
DENV3/4	Dengue virus
DENV	Dengue virus
Nickel contact dermatitis	dermatitis
OMDT-occupational medicamentosa-like dermatitis	dermatitis
Diabetes Type 1	Diabetes Type 1
Diabetes type 2	Diabetes Type 2
Escherichia coli	Escherichia coli
E.Coli	Escherichia coli
Experimental autoimmune encephalomyelitis (EAE)	Experimental autoimmune encephalomyelitis
Gallus gallus (chicken)	Gallus gallus
GallusGallus	Gallus gallus
Gastroesophageal cancer	Gastroesophageal cancer
Graft Vs Host Disease	Graft Vs Host Disease
gsiA	gsiA
Head and neck squamous cell carcinoma	Head and neck squamous cell carcinoma
Hepacivirus hominis	Hepacivirus hominis
Hepatitis B virus (Human hepatitis B virus)	Hepatitis B
Hepatitis B virus subtype ayw (Hepatitis B virus (SUBTYPE AYW))	Hepatitis B
Hepatitis C virus	Hepatitis C
Hepatitis C virus (isolate H77) (Hepatitis C virus strain H77)	Hepatitis C
Hepatitis C virus isolate HC-J8 (Hepatitis C virus (isolate HC-J8))	Hepatitis C
Hepatitis C virus subtype 1b (Hepatitis C virus type 1b)	Hepatitis C
hepatitis C virus genotype 1a (Hepatitis C virus subtype 1a)	Hepatitis C
Hepatitis C virus (HCV)	Hepatitis C
HCV	Hepatitis C
Hepatitis E virus type 3 (Hepatitis E virus genotype 3)	Hepatitis E
Hepatitis E virus infection (cHEV)	Hepatitis E
Human immunodeficiency virus (HIV)	HIV
Human immunodeficiency virus (HIV) related	HIV
HIV	HIV
HIV-1 M:B_HXB2R (Human immunodeficiency virus type 1 (HXB2 ISOLATE))	HIV-1
HIV-1 M:B_MN (Human immunodeficiency virus type 1 (MN ISOLATE))	HIV-1
Human immunodeficiency virus 1 (human immunodeficiency virus 1 HIV-1)	HIV-1
HIV-1	HIV-1
Human immunodeficiency virus 2 (HIV type 2)	HIV-2
Homo sapiens (human)	Homo sapiens
Homo sapiens	Homo sapiens
Homo Sapiens	Homo sapiens
HomoSapiens	Homo sapiens
Hordeum vulgare (barley)	Hordeum vulgare
Hordeum vulgare subsp. vulgare (two-rowed barley)	Hordeum vulgare
Human papillomavirus 16 (Human papilloma virus type 16)	HPV
human papillomavirus 18 (Human papilloma virus type 18)	HPV
HPV	HPV
HPV-16	HPV
Herpes simplex virus 1 (HSV1)	HSV-1
Herpes simplex virus 2 (HSV2)	HSV-2
HSV-2	HSV-2
HTLV-1	HTLV-1
HTLV-1 (Chronic	HTLV-1
Human adenovirus 2 (Adenovirus 2)	Human adenovirus
Human adenovirus 5 (Adenovirus 5)	Human adenovirus
AdV	Human adenovirus
Human herpesvirus 1	Human herpesvirus
Human herpesvirus 2	Human herpesvirus
Human herpesvirus 3 (Varicella-zoster virus)	Human herpesvirus
Human herpesvirus 5 (Human cytomegalovirus)	Human herpesvirus
Human herpesvirus 5 (strain RV798)	Human herpesvirus
Human herpesvirus 5 strain AD169 (Human cytomegalovirus (strain AD169))	Human herpesvirus
Human herpesvirus 5 strain Towne (Human cytomegalovirus (strain Towne))	Human herpesvirus
Human herpes virus 1	Human herpesvirus
HHV	Human herpesvirus
Human alphaherpesvirus 1 strain 17 (Herpes simplex virus (type 1 / strain 17))	Human herpesvirus
Epstein Barr virus (EBV)	Human herpesvirus-EBV
Human herpesvirus 4 (Epstein Barr virus)	Human herpesvirus-EBV
Human herpesvirus 4 strain B95-8 (Epstein-Barr virus (strain B95-8))	Human herpesvirus-EBV
EBV	Human herpesvirus-EBV
Human T-cell leukemia virus type I (Human T cell leukemia virus type 1)	Human T-cell leukemia virus type I
IgG4-related disease	IgG4-related disease
Inflammatory bowel disease (IBD)	Inflammatory bowel disease 
H1N1 subtype (H1N1)	Influenza A
Influenza A virus	Influenza A
Influenza A virus (A/California/04/2009(H1N1))	Influenza A
Influenza A virus (A/California/07/2009(H1N1))	Influenza A
Influenza A virus (A/Canterbury/236/2005(H3N2))	Influenza A
Influenza A virus (A/Japan/305/1957(H2N2)) (Influenza A virus (A/Japan/305/57(H2N2)))	Influenza A
Influenza A virus (A/Luxembourg/46/2009(H1N1))	Influenza A
Influenza A virus (A/Memphis/102/1972(H3N2))	Influenza A
Influenza A virus (A/Memphis/4/1973(H3N2)) (Influenza A virus (A/Memphis/4/73(H3N2)))	Influenza A
Influenza A virus (A/Netherlands/602/2009(H1N1))	Influenza A
Influenza A virus (A/Puerto Rico/8/1934(H1N1)) (Influenza A virus (A/PR 8/34 (H1N1)))	Influenza A
Influenza A virus (A/Puerto Rico/8/34/Mount Sinai(H1N1)) (Influenza A virus (A/Puerto Rico/8/1934(mt sinai)(H1N1)))	Influenza A
Influenza A virus (A/Viet Nam/1203/2004(H5N1)) (Influenza A virus (A/Vietnam/1203/04(H5N1)))	Influenza A
Influenza A virus (A/X-31(H3N2)) (Influenza A virus (A/X31(H3N2)))	Influenza A
Influenza A virus (A/bar-headed goose/Qinghai/1-HVRI/2006(H5N1))	Influenza A
Influenza A virus (A/bar-headed goose/Qinghai/3/2005(H5N1)) (Influenza A virus (A/bar headed goose/Qinghai/3/2005(H5N1)))	Influenza A
Influenza A virus (A/chicken/Anhui/1/1998(H9N2)) (Influenza A virus (A/Chicken/Anhui/1/98(H9N2)))	Influenza A
Influenza A virus H3N2 (A/Resvir-9 (H3N2))	Influenza A
Influenza A virus H3N2 (influenza virus A/H3N2)	Influenza A
Influenza	Influenza A
InfluenzaA	Influenza A
Influenza B virus (Influenza virus type B)	Influenza B
Influenza B	Influenza B
InfluenzaB	Influenza B
Japanese encephalitis	Japanese encephalitis
JC polyomavirus (Human polyomavirus (type JC))	JC polyomavirus
Acute myeloid leukemia	Leukemia
Leukemia	Leukemia
Acute lymphoblastic leukemia	Leukemia
Chronic lymphocytic leukemia	Leukemia
Chronic myeloid leukemia	Leukemia
T large granular lymphocyte leukemia	Leukemia
Lung cancer	Lung cancer
Non-small cell lung cancer	Lung cancer
Hepatocellular carcinoma	Lung cancer
Lupus nephritis	Lupus nephritis
Lymphocytic choriomeningitis virus (strain Armstrong)	Lymphocytic choriomeningitis virus
Lymphocytic choriomeningitis virus (LCMV)	Lymphocytic choriomeningitis virus
LCMV	Lymphocytic choriomeningitis virus
Lymphoma	Lymphoma
Mammarenavirus choriomeningitidis (Lymphocytic choriomeningitis mammarenavirus)	Mammarenavirus choriomeningitidis
Manduca sexta (Carolina sphinx)	Manduca sexta
ManducaSexta	Manduca sexta
mCMV	MCMV
MCMV	MCMV
Melanoma	Melanoma
Merkel cell carcinoma	Merkel cell carcinoma
Merkel cell polyomavirus (MCPyV isolate R17b)	Merkel cell polyomavirus
MCPyV	Merkel cell polyomavirus
Multiple sclerosis (MS)	Multiple sclerosis
Murid betaherpesvirus 1 (Mouse cytomegalovirus 1)	Murid herpesvirus
Murid herpesvirus 1 deltaMS94.5	Murid herpesvirus
AKR (endogenous) murine leukemia virus (AKR murine leukemia virus)	murine leukemia virus
Friend murine leukemia virus (Friend murine leukemia virus F-MuLV)	murine leukemia virus
Murine leukemia virus (murine leukemia virus MLV)	murine leukemia virus
Mus musculus (mouse)	Mus musculus
MusMusculus	Mus musculus
Mycobacterium tuberculosis	Mycobacterium tuberculosis
Mycobacterium tuberculosis H37Rv (Mycobacterium tuberculosis str. H37Rv)	Mycobacterium tuberculosis
Mycobacterium tuberculosis variant bovis BCG	Mycobacterium tuberculosis
M. tuberculosis	Mycobacterium tuberculosis
M.Tuberculosis	Mycobacterium tuberculosis
M.tuberculosis	Mycobacterium tuberculosis
Mtb	Mycobacterium tuberculosis
Narcolepsy	Narcolepsy
Neoantigen	Neoantigen
Non-ST-elevation Myocardial Infarction (NSTEMI)	Non-ST-elevation Myocardial Infarction
Bos taurus (bovine)	others
Columba livia (carrier pigeon)	others
Oryctolagus cuniculus (rabbit)	others
Oryzias latipes (Japanese rice fish)	others
Rattus norvegicus (brown rat)	others
Sus scrofa (pig)	others
Tetronarce californica (Pacific electric ray)	others
Chronic stable effort angina	others
Myasthenia gravis	others
Oncoprotein	Oncoprotein
S. mansoni	others
Sarcoidosis	others
Ulcerative Colitis	others
Other	others
Acidiphilium cryptum (Acidiphilum cryptum)	others_bacterium
Acinetobacter baylyi	others_bacterium
Alkalihalobacillus trypoxylicola	others_bacterium
Anaerotignum propionicum	others_bacterium
Anoxybacillus flavithermus	others_bacterium
Aspergillus nidulans	others_bacterium
Bacillus [genus]	others_bacterium
Bacillus subtilis	others_bacterium
Bacteroides fragilis	others_bacterium
Bacteroides stercoris	others_bacterium
Bifidobacterium breve	others_bacterium
Blastococcus saxobsidens DD2 (Blastococcus saxobsidens str. DD2)	others_bacterium
Blastomyces dermatitidis	others_bacterium
Candida orthopsilosis	others_bacterium
Cavenderia fasciculata	others_bacterium
Chlamydia trachomatis	others_bacterium
Chlorobium chlorochromatii	others_bacterium
Desulfotignum phosphitoxidans DSM 13687	others_bacterium
Emiliania huxleyi CCMP1516	others_bacterium
Encephalitozoon romaleae SJ-2008	others_bacterium
Enterocloster asparagiformis	others_bacterium
Enterococcus saccharolyticus	others_bacterium
Eubacterium plexicaudatum ASF492	others_bacterium
Haemophilus influenzae	others_bacterium
Halalkalibacter hemicellulosilyticus	others_bacterium
Kitasatospora setae KM-6054 (Kitasatospora setae str. KM-6054)	others_bacterium
Legionella longbeachae NSW150 (Legionella longbeachae str. NSW150)	others_bacterium
Leishmania major	others_bacterium
Ligilactobacillus murinus ASF361	others_bacterium
Listeria monocytogenes	others_bacterium
Macrophomina phaseolina MS6 (Macrophomina phaseolina str. MS6)	others_bacterium
Mycobacterium avium	others_bacterium
Myxococcus stipitatus DSM 14675	others_bacterium
Ogataea parapolymorpha DL-1 (Hansenula polymorpha DL-1)	others_bacterium
Olsenella uli	others_bacterium
Priestia koreensis	others_bacterium
Pseudomonas aeruginosa	others_bacterium
Pseudomonas fluorescens	others_bacterium
Pyrobaculum islandicum	others_bacterium
Rhizobium leguminosarum	others_bacterium
Rhodococcus sp. AW25M09	others_bacterium
Rhodopirellula baltica SH 1	others_bacterium
Robertmurraya yapensis	others_bacterium
Ruminiclostridium papyrosolvens	others_bacterium
Runella slithyformis DSM 19594 (Runella slithyformis str. DSM 19594)	others_bacterium
Saccharomyces cerevisiae (baker's yeast)	others_bacterium
Schinkia azotoformans (Bacillus azotiformans)	others_bacterium
Shouchella clausii KSM-K16	others_bacterium
Sporosarcina newyorkensis	others_bacterium
Staphylococcus aureus	others_bacterium
Sulfurovum sp. NBC37-1	others_bacterium
Thermochaetoides thermophila	others_bacterium
Toxoplasma gondii	others_bacterium
Trichosporon asahii var. asahii CBS 2479	others_bacterium
Bacteroides Fragilis	others_bacterium
Enterocloster Asparagiformis	others_bacterium
Saccharomyces Cerevisiae	others_bacterium
PseudomonasAeruginosa	others_bacterium
PseudomonasFluorescens	others_bacterium
StreptomycesKanamyceticus	others_bacterium
Carcinoma of uterine tube	others_cancers
Bile duct cancer	others_cancers
Bladder cancer	others_cancers
Endometrial cancer	others_cancers
Arabidopsis thaliana (mouse-ear cress)	others_plant
Selaginella moellendorffii	others_plant
Volvox carteri f. nagariensis	others_plant
Selaginella Moellendorffii	others_plant
CryptomeriaJaponica	others_plant
Bat mastadenovirus G	others_virus
Murine polyomavirus strain A2 (Mouse polyomavirus (strain A2))	others_virus
Paslahepevirus balayani	others_virus
Sendai virus (strain Enders)	others_virus
Human papilloma virus	others_virus
Murine leukemia virus (MuLV)	others_virus
Epithelial ovarian cancer	Ovarian cancer
Ovarian cancer	Ovarian cancer
Pancreatic cancer	Pancreatic cancer
Parkinson disease	Parkinson disease
Plasmodium berghei ANKA	Plasmodium
Plasmodium falciparum NF54	Plasmodium
Plasmodium berghei	Plasmodium
PlasmodiumBerghei	Plasmodium
PlasmodiumFalciparum	Plasmodium
Pseudomonas Fluorescens	Pseudomonas Fluorescens
Psoriatic arthritis	Psoriatic arthritis
Psoriatic Arthritis	Psoriatic arthritis
Human respiratory syncytial virus A2 (Human respiratory syncytial virus (strain A2))	Respiratory syncytial virus
RSV	Respiratory syncytial virus
Rheumatoid Arthritis (RA)	Rheumatoid Arthritis
Human rotavirus strain WA (Human rotavirus (SEROTYPE 1 / STRAIN WA))	Rota virus
RotavirusA	Rota virus
Salmonella enterica subsp. enterica serovar Indiana	Salmonella enterica
Salmonella enterica subsp. enterica serovar Typhi	Salmonella enterica
Salmonella enterica subsp. enterica serovar Typhi str. 404ty (Salmonella enterica subsp. enterica serovar Typhi 404ty)	Salmonella enterica
Salmonella enterica subsp. enterica serovar Typhimurium	Salmonella enterica
Salmonella enterica subsp. houtenae	Salmonella enterica
Salmonella enterica subsp. salamae	Salmonella enterica
SARS-CoV2	SARS-CoV2
Severe acute respiratory syndrome coronavirus 2 USA-WA1/2020	SARS-CoV2
Severe acute respiratory syndrome coronavirus 2 Wuhan/Hu-1/2019	SARS-CoV2
COVID-19	SARS-CoV2
SARS-CoV-2	SARS-CoV2
Simian immunodeficiency virus (Chimpanzee immunodeficiency virus)	Simian immunodeficiency virus
SIV	Simian immunodeficiency virus
synthetic	synthetic
Synthetic	synthetic
Systemic Lupus Erythematosus (SLE)	Systemic Lupus Erythematosus
Tick-borne encephalitis	Tick-borne encephalitis
Toxic epidermal necrolysis	Toxic epidermal necrolysis
Triticum aestivum (Canadian hard winter wheat)	Triticum aestivum
Triticum Aestivum	Triticum aestivum
TriticumAestivum	Triticum aestivum
Wheat	Triticum aestivum
Trypanosoma cruzi	Trypanosoma cruzi
Tumor	Tumor
Tumor associated antigen (TAA)	Tumor associated antigen
Vesicular stomatitis virus (vesicular stomatitis virus VSV)	Vesicular stomatitis virus
Vesicular stomatitis virus	Vesicular stomatitis virus
VSV	Vesicular stomatitis virus
West Nile virus	West Nile virus
Yellow fever virus 17D (Yellow fever virus (STRAIN 17D))	Yellow fever virus
Yellow fever virus	Yellow fever virus
YFV	Yellow fever virus
